Name	Coefficient	Coefficient_std_error	Coefficient_P_value
mousebrain-zeisel2018__DEGLU2	0.416103859800364	0.07433314515669756	1.1051018233117334e-08
mousebrain-zeisel2018__MSN2	0.37411933931037095	0.06696838351498047	1.1793858035511091e-08
mousebrain-zeisel2018__TEGLU14	0.4818477240978919	0.0877211092267668	2.0098632802531635e-08
mousebrain-zeisel2018__TEGLU19	0.47101899077414544	0.08702132757093178	3.1540164003377315e-08
mousebrain-zeisel2018__TEGLU23	0.3677474669916551	0.06821788550917357	3.562915057464103e-08
mousebrain-zeisel2018__TEGLU17	0.3600460611319705	0.0680428309675409	6.155994610211392e-08
mousebrain-zeisel2018__TEGLU5	0.39890007273852457	0.07800593260839168	1.5996806951584633e-07
mousebrain-zeisel2018__TEGLU15	0.3696610003646129	0.07331198347582542	2.3277802929376362e-07
mousebrain-zeisel2018__TEINH19	0.3571528226706718	0.07211546703711114	3.7045432134613037e-07
mousebrain-zeisel2018__HBGLU5	0.38454229687433145	0.07799108530816092	4.144661630904097e-07
mousebrain-zeisel2018__TEINH1	0.4084153316337508	0.0832147508094534	4.651574396599079e-07
mousebrain-zeisel2018__HBGLU6	0.33635459135639817	0.06958275541700856	6.76396244049738e-07
mousebrain-zeisel2018__HBINH5	0.32846728642713574	0.06951676059285106	1.1613958159261068e-06
mousebrain-zeisel2018__TEGLU12	0.3471566802781712	0.07456459477043308	1.6281473255637908e-06
mousebrain-zeisel2018__TEINH14	0.39284393680139945	0.08446354668698172	1.6659462573303365e-06
mousebrain-zeisel2018__TEINH18	0.3412333131572216	0.07362304020831274	1.801459828093294e-06
mousebrain-zeisel2018__MEINH2	0.354319697696178	0.07654194442615989	1.852391172609869e-06
mousebrain-zeisel2018__DEINH1	0.3787619015392952	0.08349664458036607	2.8862410785701567e-06
mousebrain-zeisel2018__DEINH3	0.3567874764671941	0.0787122938578605	2.9337063372132697e-06
mousebrain-zeisel2018__MSN3	0.32680781049071994	0.07268019125347787	3.4807206950210697e-06
mousebrain-zeisel2018__HBGLU9	0.3322780553800043	0.07759245216866226	9.30635360011564e-06
mousebrain-zeisel2018__DEGLU4	0.37807381220049796	0.08829827356717514	9.330194115394157e-06
mousebrain-zeisel2018__TEGLU1	0.34887389142504455	0.08217618941234243	1.0976694776671053e-05
mousebrain-zeisel2018__HBCHO2	0.38110721420438326	0.08988776699046211	1.1255083357128247e-05
mousebrain-zeisel2018__TEINH17	0.32274575900377195	0.07800956403381415	1.7673757624115687e-05
mousebrain-zeisel2018__TEINH9	0.3507340544754126	0.0872633003525105	2.9338855529376156e-05
mousebrain-zeisel2018__TEINH5	0.35267909418122245	0.08917564246178676	3.8469483665751744e-05
mousebrain-zeisel2018__DEGLU3	0.268411206058852	0.06806973197657804	4.039433542313181e-05
mousebrain-zeisel2018__HBINH6	0.33165110581504287	0.08429118867110462	4.186527161024174e-05
mousebrain-zeisel2018__TEGLU22	0.2703307124125871	0.0688112616542564	4.292334440350303e-05
mousebrain-zeisel2018__DGNBL1	0.3615389841950922	0.09232444239113313	4.522975353466197e-05
