Name	Coefficient	Coefficient_std_error	Coefficient_P_value
mousebrain-zeisel2018__PSPEP7	0.11293155109260522	0.06450274912187633	0.04000062905992942
mousebrain-zeisel2018__MEGLU11	0.10160383346365275	0.05836166189520288	0.04085818863169448
mousebrain-zeisel2018__SYNOR3	0.0859452300216823	0.04949152546976454	0.04124270479262376
mousebrain-zeisel2018__TEINH13	0.09963626092232206	0.05803552882722732	0.0430172341100785
mousebrain-zeisel2018__PSPEP2	0.09063979843766644	0.05351702633376308	0.045175482521206206
mousebrain-zeisel2018__HBGLU7	0.0851364810570205	0.05049385855056427	0.04590140002284316
mousebrain-zeisel2018__HYPEP6	0.12173327335078554	0.07276092573845017	0.04716875037548564
mousebrain-zeisel2018__PSNF3	0.10164850490882765	0.06075637699478152	0.04716949247758887
mousebrain-zeisel2018__MEINH2	0.08976746223238076	0.05480281010288075	0.05072088029994116
mousebrain-zeisel2018__SYNOR1	0.09271400580468123	0.05772452057110448	0.054131867804940836
mousebrain-zeisel2018__TEINH21	0.0980493038917299	0.06128418832893992	0.054820013510316165
mousebrain-zeisel2018__MEINH4	0.105991205288519	0.06747758603086589	0.05812997866106084
mousebrain-zeisel2018__PSNP6	0.07692778748106772	0.04925167993620704	0.05916294522874829
mousebrain-zeisel2018__SYNOR2	0.09129409178797131	0.05904583986055658	0.06104439429870909
mousebrain-zeisel2018__HYPEP1	0.10188799987111015	0.06670651655538891	0.06334088426362006
mousebrain-zeisel2018__MEINH8	0.11781669713711733	0.07774786680675927	0.06485046587533327
mousebrain-zeisel2018__HBCHO1	0.11054903930142661	0.07344308047432457	0.06614288254110164
mousebrain-zeisel2018__DEINH1	0.08895566925877511	0.05979232415234332	0.06842014597810293
mousebrain-zeisel2018__TEGLU16	0.08856764048132845	0.0596974454654581	0.06896732629677794
mousebrain-zeisel2018__PSNP4	0.08625744039674514	0.05948156255714214	0.07351862884908773
mousebrain-zeisel2018__PSPEP8	0.09520441951619942	0.06641721224846615	0.07587834488187675
mousebrain-zeisel2018__TEGLU13	0.07930359543477676	0.05552531774965134	0.07662192330688915
mousebrain-zeisel2018__HBGLU4	0.1037090983699826	0.07363748710597723	0.07952100323169084
mousebrain-zeisel2018__MEGLU1	0.07918122060932209	0.05627503266905021	0.0797185422937095
mousebrain-zeisel2018__HBINH9	0.09459602130485993	0.06729607091249352	0.07992194372635196
mousebrain-zeisel2018__MEGLU5	0.07971260749090409	0.05684196130335758	0.08041539702977601
mousebrain-zeisel2018__TEGLU23	0.06783483252706887	0.048844877804551885	0.08246041798494841
mousebrain-zeisel2018__TEGLU21	0.08020034876551824	0.05853728562211121	0.08534273664455429
mousebrain-zeisel2018__MEGLU10	0.0793983263341011	0.05894321617196408	0.08899574252582357
mousebrain-zeisel2018__MEGLU9	0.08145494887681455	0.06085270056313234	0.09036764016355503
mousebrain-zeisel2018__TEGLU2	0.07054708708847286	0.05345702853931223	0.09347855346194298
mousebrain-zeisel2018__TEGLU11	0.05942424026698462	0.04711097225687597	0.1035984715104332
mousebrain-zeisel2018__PSPEP5	0.0845427356564401	0.06745470722183528	0.10505371139342826
