gwas,specificity_id,annotation,beta,beta_se,pvalue
SCZ_PGC3,mousebrain-zeisel2018,OBDOP2,0.3098683569021547,0.0948114030407539,0.000542321080591
SCZ_PGC3,mousebrain-zeisel2018,OBINH3,0.2782858736642687,0.0875735611432979,0.0007437100405778
SCZ_PGC3,mousebrain-zeisel2018,SCINH3,0.3442522634320529,0.1085945068081858,0.0007636041355774
SCZ_PGC3,mousebrain-zeisel2018,HBINH2,0.2871676582627739,0.0929404479590933,0.0010033545167711
SCZ_PGC3,mousebrain-zeisel2018,HBCHO3,0.2344043707530153,0.0770978959230811,0.0011836491280372
SCZ_PGC3,mousebrain-zeisel2018,MSN4,0.2133645686832292,0.0704415108739107,0.0012291558078782
SCZ_PGC3,mousebrain-zeisel2018,TEINH3,0.3018189335211542,0.0998905820205525,0.0012598544570711
SCZ_PGC3,mousebrain-zeisel2018,HBSER4,0.232639977739532,0.0793228188718331,0.0016821076666461
SCZ_PGC3,mousebrain-zeisel2018,TEGLU16,0.2442501261618359,0.083405380583604,0.0017058422733429
SCZ_PGC3,mousebrain-zeisel2018,MEINH9,0.2388010480962676,0.0817869162410078,0.0017540200618547
SCZ_PGC3,mousebrain-zeisel2018,DGGRC1,0.2202709572242148,0.0765578105067375,0.0020091497715901
SCZ_PGC3,mousebrain-zeisel2018,SCINH2,0.3183264944426599,0.1107324733383134,0.0020247948443625
SCZ_PGC3,mousebrain-zeisel2018,ENT9,0.1948313653403014,0.0679525638599323,0.0020738232072369
SCZ_PGC3,mousebrain-zeisel2018,MEINH3,0.231711379660839,0.0813588452015333,0.0022027413492517
SCZ_PGC3,mousebrain-zeisel2018,HBGLU2,0.2161548409832698,0.0760716103766049,0.0022484883486009
SCZ_PGC3,mousebrain-zeisel2018,OBNBL3,0.2309222389347785,0.0818270817541133,0.0023889603366787
SCZ_PGC3,mousebrain-zeisel2018,HBINH8,0.297716389219322,0.1059920075490164,0.00248923289946
SCZ_PGC3,mousebrain-zeisel2018,MEINH4,0.2616680905329883,0.0942850260734621,0.002761197845696
SCZ_PGC3,mousebrain-zeisel2018,HBINH7,0.2634739997504629,0.0953424767670186,0.0028633380292607
SCZ_PGC3,mousebrain-zeisel2018,SZNBL,0.1887343830151412,0.0683094583000909,0.002867868851117
SCZ_PGC3,mousebrain-zeisel2018,MEGLU8,0.237788496080027,0.0866540226118324,0.0030374800647866
SCZ_PGC3,mousebrain-zeisel2018,TEINH2,0.2086302980392874,0.0763079432867921,0.0031317773273112
SCZ_PGC3,mousebrain-zeisel2018,DEINH5,0.2549176000661588,0.0954088442051119,0.0037760212080521
SCZ_PGC3,mousebrain-zeisel2018,OBINH1,0.2577207389369604,0.0975486684605954,0.0041257097721164
SCZ_PGC3,mousebrain-zeisel2018,HBINH4,0.2479864419533813,0.094124499628269,0.0042155334359307
SCZ_PGC3,mousebrain-zeisel2018,MEGLU9,0.2234400563434141,0.0850257003938341,0.0043000902414781
SCZ_PGC3,mousebrain-zeisel2018,CBINH1,0.2287249326656321,0.087302596330431,0.0044022615191648
SCZ_PGC3,mousebrain-zeisel2018,HBGLU3,0.2285780277453639,0.0883923320672266,0.0048604303975351
SCZ_PGC3,mousebrain-zeisel2018,MEGLU2,0.2102181932921406,0.0814430334532027,0.0049282206860052
SCZ_PGC3,mousebrain-zeisel2018,SCINH5,0.2572046998860323,0.100245186093174,0.0051525698269965
SCZ_PGC3,mousebrain-zeisel2018,MEINH6,0.2510805205139764,0.0989038823588424,0.0055695630337709
SCZ_PGC3,mousebrain-zeisel2018,HBSER1,0.2163047500790354,0.0865322884391934,0.0062204439228389
SCZ_PGC3,mousebrain-zeisel2018,SCINH1,0.2794076215855542,0.1126763814975328,0.0065796656880518
SCZ_PGC3,mousebrain-zeisel2018,MEGLU10,0.2004033652265483,0.0824067138962182,0.0075163598911211
SCZ_PGC3,mousebrain-zeisel2018,HBGLU1,0.2118266988186102,0.0875040924219,0.0077501172553538
SCZ_PGC3,mousebrain-zeisel2018,HBINH9,0.2251061690254084,0.0940211294512433,0.0083344947289153
SCZ_PGC3,mousebrain-zeisel2018,CBINH2,0.2638063609542839,0.1124998723322987,0.0095216130018946
SCZ_PGC3,mousebrain-zeisel2018,CBNBL1,0.243906349794586,0.1048289992806022,0.0099973326954847
SCZ_PGC3,mousebrain-zeisel2018,DGNBL2,0.1798911310629101,0.0778538757805617,0.0104338074751821
SCZ_PGC3,mousebrain-zeisel2018,TECHO,0.2157612286913038,0.0939654896512551,0.0108400747538772
SCZ_PGC3,mousebrain-zeisel2018,HBSER3,0.2064289524416068,0.0902768646078982,0.0111162035654444
SCZ_PGC3,mousebrain-zeisel2018,HBCHO1,0.2281061093791447,0.1026399568173161,0.013136181309575
SCZ_PGC3,mousebrain-zeisel2018,MBCHO1,0.1953749784058841,0.0883938409225745,0.0135507589734593
SCZ_PGC3,mousebrain-zeisel2018,TEINH21,0.1884556077434671,0.085661558451859,0.0139112823017226
